人物,音色,情绪,文字内容
Narrator,ryan,平静,"I believe that a well-known anecdote exists to the effect that a young writer, determined to make the commencement of his story forcible and original enough to catch and rivet the attention of the most blasé of editors, penned the following sentence:"
Narrator,ryan,平静,'Hell!' said the Duchess.
Narrator,ryan,平静,"Strangely enough, this tale of mine opens in much the same fashion. Only the lady who gave utterance to the exclamation was not a Duchess!"
Narrator,ryan,平静,It was a day in early June.
Narrator,ryan,平静,"I had been transacting some business in Paris and was returning by the morning service to London where I was still sharing rooms with my old friend, the Belgian ex-detective, Hercule Poirot."
Narrator,ryan,平静,"The Calais express was singularly empty—in fact, my own compartment held only one other traveller."
Narrator,ryan,平静,I had made a somewhat hurried departure from the hotel and was busy assuring myself that I had duly collected all my traps when the train started.
Narrator,ryan,平静,"Up till then I had hardly noticed my companion, but I was now violently recalled to the fact of her existence."
Narrator,ryan,平静,"Jumping up from her seat, she let down the window and stuck her head out, withdrawing it a moment later with the brief and forcible ejaculation—"
Girl,sohee,愤怒,Hell!
Narrator,ryan,严肃,"Now I am old-fashioned. A woman, I consider, should be womanly. I have no patience with the modern neurotic girl who jazzes from morning to night, smokes like a chimney, and uses language which would make a Billingsgate fishwoman blush!"
Narrator,ryan,平静,"I looked up now, frowning slightly, into a pretty, impudent face, surmounted by a rakish little red hat. A thick cluster of black curls hid each ear. I judged that she was little more than seventeen, but her face was covered with powder, and her lips were quite impossibly scarlet."
Narrator,ryan,平静,"Nothing abashed, she returned my glance, and executed an expressive grimace."
Girl,sohee,高兴,"Dear me, we've shocked the kind gentleman!"
Girl,sohee,高兴,"I apologize for my language! Most unladylike, and all that, but Oh, Lord, there's reason enough for it!"
Girl,sohee,惊讶,Do you know I've lost my only sister?
Hastings,ryan,平静,Really? How unfortunate.
Girl,sohee,高兴,He disapproves!
Girl,sohee,高兴,"He disapproves utterly—of me, and my sister—which last is unfair, because he hasn't seen her!"
Girl,sohee,高兴,Say no more! Nobody loves me! I shall go into the garden and eat worms! Boohoo! I am crushed!
Narrator,ryan,平静,"She buried herself behind a large comic French paper. In a minute or two I saw her eyes stealthily peeping at me over the top. In spite of myself I could not help smiling, and in a minute she had tossed the paper aside, and had burst into a merry peal of laughter."
Girl,sohee,高兴,I knew you weren't such a mutt as you looked.
Narrator,ryan,平静,"Her laughter was so infectious that I could not help joining in, though I hardly cared for the word 'mutt.'"
Narrator,ryan,平静,"The girl was certainly all that I most disliked, but that was no reason why I should make myself ridiculous by my attitude. I prepared to unbend. After all, she was decidedly pretty. …"
Girl,sohee,高兴,There! Now we're friends! Say you're sorry about my sister—
Hastings,ryan,高兴,I am desolated!
Girl,sohee,高兴,That's a good boy!
Hastings,ryan,高兴,"Let me finish. I was going to add that, although I am desolated, I can manage to put up with her absence very well."
Narrator,ryan,平静,But this most unaccountable of damsels frowned and shook her head.
Girl,sohee,严肃,Cut it out. I prefer the 'dignified disapproval' stunt.
Girl,sohee,严肃,"Oh, your face! 'Not one of us,' it said. And you were right there—though, mind you, it's pretty hard to tell nowadays."
